#,Rank FMCK Skövde,Rank Töreboda MK,Rank Tidaholms MK,Rank Falköpings MK,Rank Carlsborgs MK,Rank Tibro MK,Namn,Klubb,Klass,Predicted_Rank,Rank
177.0,100.2,160.2,194.8,101.2,129.0,112.6,Edvin Kindgren,SMK Eksjö,Ungdom E1,133.00000000000006,190
228.0,103.0,209.8,181.2,57.8,168.6,79.8,Andreas Lambert Melander,Lilla Edets MCK,Motion 40-49,133.36666666666673,191
1241.0,179.0,146.0,134.0,78.4,107.0,165.8,Magnus Thor,Battle of Vikings Sportförening,Senior,135.03333333333336,192
923.0,124.0,120.0,121.0,271.8,103.0,72.0,Henrik Andersen,Östhammars MK,Motion 50-59,135.30000000000004,193
507.0,127.8,104.0,190.4,243.0,65.0,83.2,Marcel Tara,Tibro MK,Junior,135.5666666666667,194
299.0,137.2,159.0,137.0,147.4,136.0,97.0,Tommy Johansson,Skene MS,Motion 50-59,135.60000000000002,195
1202.0,141.0,143.8,173.8,88.4,128.6,140.6,Philip Lizell,Rättvik Boda MK,Motion 16-29,136.0333333333334,196
997.0,94.0,197.0,202.0,67.2,131.0,127.0,Hans-Erik Holmqvist,SMK Gävle,Motion 40-49,136.3666666666667,197
1517.0,137.0,153.0,140.0,93.4,121.8,176.0,Jan Olof Carlsson,Norrahammars MK,Motion 60-,136.8666666666667,198
520.0,141.8,119.2,141.6,176.0,141.8,106.6,Peter Bysell,FMCK Strängnäs,Motion 40-49,137.83333333333337,199
1363.0,144.6,129.2,147.8,98.2,141.0,168.0,Ulric Karlsson,Tidaholms MK,Motion 40-49,138.13333333333335,200
1257.0,152.0,130.0,162.0,74.0,119.0,192.0,Oddbjørn Sandvik,Flittig Enduro,Motion 40-49,138.1666666666667,201
960.0,193.6,166.0,175.6,60.8,136.0,99.0,Andreas Breitfeld,Kungsbacka MA,Motion -39,138.50000000000003,202
236.0,141.2,210.6,156.2,50.0,168.2,106.8,Emil Gabrielsson,Skene MS,Ungdom E1,138.83333333333334,203
65.0,86.0,194.8,167.0,54.8,147.8,189.8,Melker Svantesson,Kullings MS,Motion -39,140.0333333333334,204
230.0,156.4,188.8,181.8,78.6,139.0,96.0,Johan Elofsson,Örebro EK,Motion 30-39,140.10000000000002,205
989.0,97.0,209.0,193.0,83.6,164.0,95.6,Håkan Svensson,FMCK Eksjö,Motion 60-,140.3666666666667,206
1006.0,122.0,175.0,217.2,81.4,152.0,99.2,Max Wennerlund,Tranås MS,Bredd,141.13333333333338,207
526.0,144.0,126.0,129.0,243.4,118.0,87.4,Magnus Ragnarsson,Skene MS,Motion 50-59,141.30000000000004,208
1305.0,147.2,145.8,190.6,95.6,110.0,163.0,Tommy Andersson,Götene MK,Motion 40-49,142.0333333333334,209
1287.0,179.8,207.2,111.0,97.4,144.6,114.0,Johan Alexandersson,Götene MK,Motion 40-49,142.33333333333334,210
216.0,183.4,228.0,188.6,66.2,131.0,65.4,Linus Karlsson,Fjugesta MS,Bredd,143.76666666666668,211
568.0,178.4,145.0,175.2,215.2,88.0,61.0,Emil Meijer,Götene MK,Motion -39,143.79999999999998,212
