Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5
168,Motion 40-49,978,Johan Karlsson,Älvbygdens MK,2,23:57.3,16:00.5,7:56.7,,,
169,Motion -39,823,Isak Ljungström,Hallsbergs MK,2,26:11.6,17:15.4,8:56.2,,,
170,Motion -39,728,Arvid Siggesson,Tibro MK,2,27:21.0,17:22.3,9:58.7,,,
171,Motion 40-49,906,Anders Billestedt Andersson,Stenungsunds MS,2,28:47.5,18:58.9,9:48.6,,,
172,Ungdom E1,187,Ludwig Demegård,Tibro MK,2,31:46.6,20:38.0,11:08.5,,,
173,Motion 40-49,965,Eric Ackeby,Beskaskinn MC,2,46:55.2,26:14.0,20:41.2,,,
174,Motion -39,558,Albin Strandhag,FMCK Skövde,1,18:30.0,18:30.0,,,,
175,Ungdom E1,114,William Ahlander,Tibro MK,1,26:35.0,26:35.0,,,,
176,Ungdom E1,123,Axel Darius,Lidköpings MCK,1,35:22.8,35:22.8,,,,
177,Ungdom E1,170,Maximillian Fridérus,Ulricehamns MK,1,37:58.9,37:58.9,,,,
178,Motion -39,525,Hans Palm,Norrahammars MK,0,00:00.0,BRUTIT,,,,
