Carlsborgs MK,2023,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
,,157,Motion -39,590,Tobias Hagelin,FMCK Borås,KTM,24:50.7  25:07.7  26:57.5  ,3,16:56.0
,,158,Ungdom E1,122,Tuva Sahlin Palmstedt,Lidköpings MCK,KTM,23:32.2  28:40.4  25:23.3  ,3,17:36.1
,,159,Motion -39,508,Maria Thomsen,FMCK Borås,Husqvarna,24:33.2  27:11.6  27:19.3  ,3,19:04.2
,,160,Motion 40-49,983,Magnus Lilja,Älvbygdens MK,KTM,26:18.6  26:10.8  27:53.2  ,3,20:22.7
,,161,Motion -39,503,Rickard Forsberg,Mariestads EK,Husqvarna,25:32.7  27:31.8  27:36.4  ,3,20:41.0
,,162,Ungdom E1,176,Erik Larsson,Tibro MK,Beta,26:12.0  26:29.0  29:26.0  ,3,22:07.1
,,163,Motion 40-49,902,Andreas Sandberg,FMCK Borås,KTM,26:52.3  28:12.9  32:19.6  ,3,27:24.9
,,164,Motion -39,545,Grim Fallenius,Götene MK,Beta,20:29.8  20:31.9  ,2,41:01.7
,,165,Motion -39,559,Jesper Herngren,Falköpings MK,Husqvarna,20:04.5  21:17.0  ,2,41:21.5
,,166,Motion -39,516,Dennis Ring,FMCK Borås,Husqvarna,20:29.4  21:09.4  ,2,41:38.8
,,167,Ungdom E1,195,Casper Svahn,Örebro MK,Husqvarna,21:28.9  23:06.4  ,2,44:35.4
,,168,Motion 40-49,1002,Andreas Sjöberg,Tibro MK,Sherco,22:27.4  23:44.8  ,2,46:12.2
,,169,Motion 40-49,1121,Andreas Lambert Melander,Lilla Edets MCK,Husaberg,23:38.2  24:03.6  ,2,47:41.9
,,170,Ungdom E1,104,Theodor Popp,SMK Värnamo,Husqvarna,17:25.1  ,1,17:25.1
,,171,Ungdom E1,198,Jacob Stacke,SMK Värnamo,Beta,20:09.8  ,1,20:09.8
,,172,Motion -39,543,Axel Gustafsson,Lidköpings MCK,KTM,21:22.9  ,1,21:22.9
,,173,Ungdom E1,115,Simon Rutgersson,Stenungsunds MS,Husqvarna,21:45.7  ,1,21:45.7
,,174,Motion 40-49,942,Rikard Hofvander,Hallsbergs MK,Husqvarna,25:06.1  ,1,25:06.1
,,175,Motion -39,639,Melker Jansson,Karlskoga EK,KTM,BRUTIT,0,00:00.0
